CODE_CIRCONSCRIPTION;NOM_CIRCONSCRIPTION;NUMERO_CANDIDAT;SEXE_CANDIDAT;NOM_CANDIDAT;PRENOM_CANDIDAT;COLONNE_TRI;TYPE_CANDIDAT;ABREVIATION_PARTI;NOM_PARTI;DEPUTE_SORTANT;SEXE_AGENT_OFF;NOM_AGENT_OFF;PRENOM_AGENT_OFF;DATE
713;Bonaventure;383;F;Chartier;Patricia;CHARTIERPATRICIA;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
713;Bonaventure;590;M;Dubois;Patrick;DUBOISPATRICK;CPA;P.N.;Parti nul;N;M;Lemyre-Charest;Dominic;2014-03-22 20:00:01
713;Bonaventure;586;M;Landry;Jean-Marc;LANDRYJEANMARC;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole ;2014-03-22 20:00:01
713;Bonaventure;299;M;Roy;Sylvain;ROYSYLVAIN;CPA;P.Q.;Parti québécois;O;M;Chapados;Jean-Yves;2014-03-22 20:00:01
713;Bonaventure;250;M;St-Pierre;Louis-Patrick;SAINTPIERRELOUISPATRICK;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain;2014-03-22 20:00:01
243;Borduas;310;M;Duchesne;Pierre;DUCHESNEPIERRE;CPA;P.Q.;Parti québécois;O;M;Guénette;Denis;2014-03-22 20:00:01
243;Borduas;739;M;Falardeau;Jean ;FALARDEAUJEAN;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
243;Borduas;510;M;Gour;Gilbert;GOURGILBERT;CPA;É.A.P. - P.C.Q.;Équipe Adrien Pouliot - Parti conservateur du Québec;N;M;Verville;Marc;2014-03-22 20:00:01
243;Borduas;511;M;Jolin-Barrette;Simon;JOLINBARRETTESIMON;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
243;Borduas;751;M;Lepage;Michel;LEPAGEMICHEL;CPA;P.I.;Parti indépendantiste;N;M;Drolet-Massue;Pierre;2014-03-22 20:00:01
243;Borduas;320;M;Murray;Jean;MURRAYJEAN;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;N;M;D'Astous;Guy;2014-03-22 20:00:01
243;Borduas;856;M;Siouï;Marc-Olivier;SIOUIMARCOLIVIER;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain;2014-03-22 20:00:01
431;Bourassa-Sauvé;441;M;Aberra;Adam;ABERRAADAM;CPA;P.V.Q./G.P.Q.;Parti vert du Québec/Green Party of Québec;N;M;McMurray;Ken;2014-03-22 20:00:01
431;Bourassa-Sauvé;940;M;Brunet;Jean-François;BRUNETJEANFRANCOIS;CPA;B.P.;Bloc pot;N;M;Proulx;Frédéric;2014-03-22 20:00:01
431;Bourassa-Sauvé;939;M;Del Fabbro;Fabrizio;DELFABBROFABRIZIO;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
431;Bourassa-Sauvé;411;F;de Santis;Rita;DESANTISRITA;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;O;M;Di Tomaso;Nicholas;2014-03-22 20:00:01
